HudongItem,relation,NewNode
莱姆病,part of,borreliosis
Hardy,different from,哈代
奎尼丁,significant drug interaction,disopyramide
黄金时代,film editor,Daniel Mandell
汤池,instance of,人类
Kohler,instance of,village of Wisconsin
大坡,country,台湾
薄叶润楠,instance of,生物分类单元
光叶闭鞘姜,parent taxon,闭鞘姜属
褐云玛瑙螺,parent taxon,玛瑙螺属
莱姆病,has cause,伯氏疏螺旋体
奎尼丁,significant drug interaction,dofetilide
FDR,position held,member of the State Senate of New York
黄金时代,production designer,佩里·弗格森
桑寄生,basionym,Loranthus chinensis
桤木,has fruit type,nucule
莱姆病,health specialty,感染科
奎尼丁,significant drug interaction,多潘立酮
FDR,position held,纽约州州长
黄金时代,composer,雨果·弗里德霍弗
网络崖豆藤,instance of,生物分类单元
Silk,instance of,电影
口臭,subclass of,症状
slp,subclass of,蛋白质编码基因
Kohler,located in the administrative territorial entity,希博伊根县
桤木,IUCN conservation status,无危物种
莱姆病,symptoms,游走性红斑
奎尼丁,significant drug interaction,dronedarone
FDR,position held,海军助理部长
黄金时代,producer,塞缪尔·高德温
desert,has quality,dryness
Silk,genre,剧情片
口臭,subclass of,fetor
slp,found in taxon,Xanthomonas campestris pv. campestris str. ATCC 33913
莱姆病,symptoms,疲倦
奎尼丁,significant drug interaction,droperidol
FDR,position held,菲律宾总督列表
黄金时代,production company,Samuel Goldwyn Productions
海草,topic's main category,Category:Seagrass
钟乳石,subclass of,dripstone
宋子安,instance of,人类
神话传说,instance of,电子游戏
desert,topic's main category,Category:沙漠
幂律,topic's main category,Category:幂定律
网络崖豆藤,parent taxon,崖豆藤属
口臭,subclass of,腋臭
slp,encodes,Outer membrane protein Slp XCC1005
汤池,military rank,中国人民解放军少将
莱姆病,symptoms,头痛
FDR,family,罗斯福家族
黄金时代,production company,雷电华电影公司
满月,follows,waxing gibbous moon
1180年,part of,1180年代
钟乳石,opposite of,石笋
神话传说,series,传奇系列
desert,described by source,Otto's encyclopedia
网络崖豆藤,subject has role,basionym
slp,strand orientation,Reverse Strand
莱姆病,symptoms,关节疼痛
奎尼丁,significant drug interaction,艾司西酞普兰
FDR,award received,时代年度风云人物
黄金时代,distributor,雷电华电影公司
Petch,instance of,人类
大宝,instance of,日本年号
同志,subclass of,人类
满月,followed by,waning gibbous moon
1180年,follows,1179年
钟乳石,described by source,Encyclopedia of Armenian Nature
宋子安,father,宋嘉澍
神话传说,genre,电子角色扮演游戏
desert,catalog,Wikipedia:基础条目
莱姆病,symptoms,肌肉疼痛
奎尼丁,significant drug interaction,flecainide
FDR,award received,时代年度风云人物
磷酸酯,topic's main category,Category:磷酸酯
1922年,part of,1920年代
CHS,subclass of,autosomal recessive disease
同志,part of,comradeship
宋子安,mother,倪桂珍
神话传说,publisher,Namco
莱姆病,symptoms,抽动综合症
奎尼丁,significant drug interaction,Halofantrine
FDR,award received,时代年度风云人物
黄金时代,award received,奥斯卡最佳影片奖
蝴蝶果属,instance of,生物分类单元
扬子,instance of,人类
乔木,instance of,人类
易燃,subclass of,材料性质
李思忠,instance of,人类
CHS,health specialty,内分泌学
光州,located in the administrative territorial entity,信阳市
满月,topic's main category,Category:月圆
1180年,topic's main category,Category:1180年
宋子安,sibling,宋子良
