text,label,pred_label
云南都市十点后会播放什么电视剧帮我看下,FilmTele-Play,TVProgram-Play
给我找张韶涵参加的天赐的声音,FilmTele-Play,Video-Play
放战天狼不是战狼赶紧放战天狼,FilmTele-Play,Video-Play
达摩祖师范冰冰的那个播出一下给我看,FilmTele-Play,Video-Play
2020年的邻家女孩大斗爱播放给我看看吧,FilmTele-Play,Video-Play
既然不退役那接下来郭晶晶的比赛安排是什么,FilmTele-Play,Video-Play
血战上海滩最后一关好玩吗,FilmTele-Play,Video-Play
海扁王将于美国时间四月一六日在美国上映,FilmTele-Play,Video-Play
围裙粉丝他给粉丝下最后通牒,FilmTele-Play,Video-Play
请查一下我这部手机为什么呼叫被禁止,HomeAppliance-Control,Other
一个人要不正经连头疼都是偏的,HomeAppliance-Control,Other
什么是简单随机抽样和分类抽样,HomeAppliance-Control,Other
打开天猫精灵，让它为我讲笑话,HomeAppliance-Control,Video-Play
立刻播放一下18世纪贝多芬的创作,Music-Play,Audio-Play
放一个送别，不是那个歌，王维的诗,Music-Play,Audio-Play
循环播放搞笑小品不是冤家不聚头散步时候听,Music-Play,Audio-Play
泰戈尔飞鸟集里的诗我想听，英文版的,Music-Play,Audio-Play
麻烦循环播放邓丽君的小城故事,Music-Play,Audio-Play
播放一个寓言田螺姑娘来听,Music-Play,Audio-Play
现在开始循环播放草这首诗,Music-Play,Audio-Play
请帮我播放肖战的光点,Music-Play,FilmTele-Play
帮我放凤凰传奇的荷塘月色。,Music-Play,FilmTele-Play
刚拿下金钟影后的天心到这一刻都还不敢相信影后就是自己,Music-Play,FilmTele-Play
王建隆这份名单中唯一让人跌破眼镜的要属甄子丹了,Music-Play,FilmTele-Play
异界九死神功之破茧成蝶四,Music-Play,FilmTele-Play
对不起对不起对不起我永远都欠你,Music-Play,FilmTele-Play
适合跳舞的your soul播放,Music-Play,FilmTele-Play
相信我终有一天我会让你死得很难看,Music-Play,FilmTele-Play
我的高兴和不高兴都摆在脸上,Music-Play,Other
有人赞叹第一次见她美得惊天动地美得充满霸气和力度,Music-Play,Other
点开最近凤凰传奇新出的瞄着你就是爱,Music-Play,Video-Play
I九零七零怎么还没有升级包呢,Music-Play,Video-Play
失眠的猫过来蹦哒蹦哒,Music-Play,Video-Play
现在驾校报名费多少钱儿,Other,Alarm-Update
我很幸运我做的是自己的专业,Other,Alarm-Update
讲修仙的广播剧播放一个吧,Other,Audio-Play
是不是有什么好的兆头笑,Other,Calendar-Query
安志杰与谢婷婷恩爱走秀笑指女友是发电厂图,Other,FilmTele-Play
罗嘉良九九九娶苏岩将到欧洲度蜜月图,Other,FilmTele-Play
记者获悉央视每年的购剧数量在二零零零集左右,Other,FilmTele-Play
口碑之下该片还火速走红网络,Other,FilmTele-Play
他也跟很多现在的师兄弟认识了,Other,FilmTele-Play
限播令势必让影视公司走上精品化道路,Other,FilmTele-Play
我说我的手机刚才掉地上摔坏了,Other,HomeAppliance-Control
国产三菱蓝色神翼加售价,Other,HomeAppliance-Control
适合运动的歌曲来一首吧,Other,Music-Play
请朗诵个唐诗,Other,Music-Play
李秉宪木村拓哉乔什哈奈特新片海报曝光图,Other,Music-Play
校园里听的小清新的歌曲随机来一个,Other,Music-Play
是不是能随机来一首古典乐啊,Other,Music-Play
抖音上的最新的歌曲来一首吧,Other,Music-Play
唱一首比较有年代感的古风歌曲可以吗,Other,Music-Play
其实的销量只比上一周增长了一个百分点为三万二千张,Other,Music-Play
是不是能播放一首德国的古典音乐呢,Other,Music-Play
近期快手火爆的歌曲给随机来一首吧,Other,Music-Play
我说给我找点好听的歌,Other,Music-Play
你能推荐一些好听的歌曲给我吗,Other,Music-Play
我要听一首最火爆的爵士乐,Other,Music-Play
我偶尔会想安静的听一首歌,Other,Music-Play
放一首表达爱情的英文歌曲呢,Other,Music-Play
开始播放一首关于爱情的古典音乐吧,Other,Music-Play
能不能随机来一首民谣呢,Other,Music-Play
给我来一首放空内的歌曲吧,Other,Music-Play
随便给我找个网络电台的节目听,Other,Radio-Listen
拨打幺幺零拨打幺幺零,Other,Radio-Listen
快点我需要去电视台，如何走红绿灯才最少呢,Other,Radio-Listen
下周一二九号影片正式开机,Other,TVProgram-Play
这里是北京应该是在北京新闻播放，帮我转到那吧,Other,TVProgram-Play
我需要你让我知道G31动车还有票吗,Other,Travel-Query
帮我打开合肥购物看看合肥购物正在卖些什么东西,Other,Travel-Query
怎么没有看到我下载的QQ浏览器,Other,Video-Play
范文芳夫妇携手亮相新婚周年无暇庆祝组图,Other,Video-Play
伤后完婚爱犬陪走红毯马英九现场证婚,Other,Video-Play
找个经典国漫看,Other,Video-Play
李倩在节目中享足浴尝美食与主持人李静和张瑶全都玩了,Other,Video-Play
给我随便找一个已经完结的战斗动漫,Other,Video-Play
卡通现在有什么节目可以打发时间我想看下,Other,Video-Play
虽然天气不好飞机还是照常起飞了,Other,Weather-Query
给我来一个曹云金的话说天下,Radio-Listen,Audio-Play
野史下酒就恶霸波那个播出一下,Radio-Listen,FilmTele-Play
能播放一下唐嫣和钟汉良的何以笙箫默吗,Radio-Listen,FilmTele-Play
来一部关晓彤出演的电视剧好先生呢,Radio-Listen,FilmTele-Play
马琳离婚落幕张宁益公司称与人方便与己方便,Radio-Listen,FilmTele-Play
快帮我播放MYFM不眠夜,Radio-Listen,FilmTele-Play
打开电视切换到河北卫视,Radio-Listen,HomeAppliance-Control
接着上次的好口才都不仅靠训练而来,Radio-Listen,Music-Play
我要听安琪车主CD,Radio-Listen,Music-Play
我需要听叶痕的我所理解的生活呢,Radio-Listen,Music-Play
听会儿刘晓的大军第一时间,Radio-Listen,Music-Play
播放959年代音乐怀旧好声音,Radio-Listen,Music-Play
用天天动听播放还有我,Radio-Listen,Music-Play
给找下蓝天的风靡空间我想听,Radio-Listen,Music-Play
重新播放前天的十分好球,Radio-Listen,Music-Play
安尔乐的保护体贴又周到,Radio-Listen,Music-Play
找到夜里11点开始的相约在路上,Radio-Listen,TVProgram-Play
给大人的睡前童话帮我放一下这个节目,Radio-Listen,TVProgram-Play
今儿周日听音乐万花筒周末版就在上海动感101,Radio-Listen,TVProgram-Play
我想看新闻频道的法制在线帮我回放一下往期视频,Radio-Listen,TVProgram-Play
搜索一下少儿频道昨天下午播出的节目,Radio-Listen,TVProgram-Play
播放豆瓣FM里的两只老虎歌曲,Radio-Listen,Video-Play
放一个麻宁的交通新闻,Radio-Listen,Video-Play
我想听周伟琪的诗词鉴赏,Radio-Listen,Video-Play
有声小说斗罗大陆给我播一下,TVProgram-Play,Audio-Play
余男六万拍得限量版笔记本善款重建熊猫家园,TVProgram-Play,Audio-Play
帮我打开贵州公共吧，看看现在播放什么电视剧,TVProgram-Play,FilmTele-Play
热血江湖V二点一版本主角简介,TVProgram-Play,FilmTele-Play
17号的湖南新闻联播还能再回放吗帮我看下,TVProgram-Play,Radio-Listen
真事纪事播完接下来是不是美食娱乐面对面,TVProgram-Play,Radio-Listen
调到河南卫视看看河南新闻联播可以吗我想看下,TVProgram-Play,Radio-Listen
回放贵州新闻联播昨晚内容,TVProgram-Play,Radio-Listen
云南新闻联播十点钟就结束了吗我还想看看,TVProgram-Play,Radio-Listen
霍汶希在电话中懒得理会日日多新人物不是事实不回应,TVProgram-Play,Radio-Listen
养生有道播放一下,TVProgram-Play,Radio-Listen
打开现在正在播放的熊出没之探险日记2,TVProgram-Play,Video-Play
查找CCTV5体育频道已经播出的国际足球赛场-20-21赛季意甲联赛第38轮1,TVProgram-Play,Video-Play
帮我查看今天的中国梦主题纪录片啥时候进行吧,TVProgram-Play,Video-Play
今天的法治新闻给我预约播放,TVProgram-Play,Video-Play
帮我放喜羊羊与灰太狼之运动英雄传7点23的视频回放,TVProgram-Play,Video-Play
播放一下今天零点的新闻简报,TVProgram-Play,Video-Play
帮我播放正在直播的国际足球赛场-20-21赛季意甲联赛第38轮1,TVProgram-Play,Video-Play
播放CCTV1正在直播的绝密使命,TVProgram-Play,Video-Play
播放中央十昨天的晚间新闻,TVProgram-Play,Video-Play
给妹妹打开卡通卫视喜羊羊嘻哈闯世界,TVProgram-Play,Video-Play
有声小说竞技女孩给我播一下,TVProgram-Play,Video-Play
CCTV3播出的文化十分往期视频回放一下,TVProgram-Play,Video-Play
听听2021年央视春晚相声年三十的歌,TVProgram-Play,Video-Play
老鸟的万物皆可揍之这个游戏视频是什么时候讲的,TVProgram-Play,Video-Play
想看一下今天的南海海洋天气预报，给我调到南海吧,TVProgram-Play,Weather-Query
文字方面以日记方式让大家了解其生活点滴,Video-Play,Alarm-Update
给我播一下麦田里的守望者的日语版原著小说,Video-Play,Audio-Play
我要循环放小矮人盒老鞋匠这个故事,Video-Play,Audio-Play
我要听相声我是歌手,Video-Play,Audio-Play
播放沈腾的小品马丽碰瓷沈腾,Video-Play,Audio-Play
循环播放2017年春晚小品家的味道听听看,Video-Play,Audio-Play
小说黄金瞳给我放一下,Video-Play,Audio-Play
能找到动漫版的白蛇传吧给我放一下,Video-Play,FilmTele-Play
三国演义动漫版的给放一下啊,Video-Play,FilmTele-Play
有科幻国漫吧给随便放一个,Video-Play,FilmTele-Play
冒险类的给我放盗墓笔记秦岭神树吧,Video-Play,FilmTele-Play
播放体面MV,Video-Play,FilmTele-Play
关键词我为喜剧狂广告狂人约翰亚当斯,Video-Play,FilmTele-Play
有现在在播星际公民的吧个找个看,Video-Play,FilmTele-Play
西班牙的著名景观人文风俗名人明星等等,Video-Play,FilmTele-Play
给我播放古筝大师王中山的古筝曲,Video-Play,Music-Play
傅欣瑶在南京酒吧驻场时唱的消失还能找到吗,Video-Play,Music-Play
亚洲国家国旗欧洲国家国旗,Video-Play,Music-Play
我要看法国小提琴家蒂博演奏的小提琴曲,Video-Play,Music-Play
能不能放推理类型的小说让我烧脑一下,Video-Play,Other
微微一笑很倾城的有声漫画帮我播一下,Video-Play,Other
后来我就在网上看到了她的不雅照,Video-Play,Other
我要看晚上10点的四川新闻联播重要剪辑版,Video-Play,Radio-Listen
非诚勿扰迎来宝岛绅士光头男笑称乐嘉二叔图,Video-Play,Radio-Listen
2月4日开始陆续播放的年的味儿还在更新吗我想看看,Video-Play,TVProgram-Play
播一下悬疑的深夜小茶馆这个节目,Video-Play,TVProgram-Play
可不可以帮我播放4月29日的这里是北京小胡同里的大人物,Video-Play,TVProgram-Play
这里是西藏今天会有吗播放一下,Video-Play,TVProgram-Play
可以帮我回放今早七点的西安新闻吗我想看下,Video-Play,TVProgram-Play
回放湖南卫视昨天的新闻大求真,Video-Play,TVProgram-Play
麻烦帮我放一下生活秀这个节目,Video-Play,TVProgram-Play
比较想看广东珠江的外来媳妇本地郎，帮我找一下,Video-Play,TVProgram-Play
打开中央七，想看看今天今天的军事节目,Video-Play,TVProgram-Play
回放湖南卫视5月18日下午三点半的节目,Video-Play,TVProgram-Play
九点钟就开播的老杜食堂是不是还在直播中帮我看下,Video-Play,TVProgram-Play
零点37的天气预报再帮我播放一遍,Video-Play,TVProgram-Play
晚上回去记得走的快点哈,Weather-Query,Alarm-Update
别这样吧温度已经够高的了,Weather-Query,Other
